index,emotion
0,0
1,0
2,0
3,0
4,0
5,4
6,2
7,0
8,2
9,1
10,2
11,2
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,3
20,3
21,0
22,1
23,3
24,2
25,3
26,2
27,2
28,3
29,2
30,2
31,3
32,6
33,2
34,2
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,2
47,0
48,2
49,2
50,3
51,0
52,2
53,2
54,2
55,2
56,0
57,0
58,2
59,2
60,0
61,0
62,4
63,4
64,3
65,0
66,0
67,0
68,0
69,0
70,2
71,0
72,0
73,0
74,0
75,0
76,2
77,2
78,2
79,0
80,3
81,2
82,0
83,3
84,3
85,1
86,1
87,2
88,2
89,3
90,2
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,3
100,4
101,3
102,4
103,4
104,2
105,3
106,4
107,0
108,1
109,4
110,0
111,0
112,1
113,4
114,0
115,0
116,0
117,4
118,0
119,0
120,2
121,2
122,2
123,4
124,2
125,0
126,0
127,0
128,2
129,0
130,2
131,1
132,2
133,2
134,4
135,2
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,2
148,5
149,2
150,3
151,0
152,0
153,2
154,1
155,4
156,2
157,2
158,2
159,0
160,0
161,2
162,2
163,2
164,2
165,2
166,0
167,0
168,2
169,0
170,0
171,0
172,2
173,2
174,0
175,2
176,2
177,2
178,2
179,2
180,1
181,0
182,0
183,0
184,4
185,0
186,0
187,0
188,4
189,0
190,0
191,0
192,0
193,0
194,0
195,4
196,0
197,0
198,0
199,2
200,0
201,2
202,0
203,2
204,0
205,0
206,4
207,4
208,0
209,2
210,2
211,0
212,2
213,2
214,1
215,2
216,0
217,4
218,0
219,1
220,2
221,2
222,0
223,4
224,0
225,2
226,3
227,1
228,6
229,6
230,2
231,0
232,2
233,2
234,0
235,2
236,2
237,0
238,0
239,0
240,0
241,2
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,4
251,4
252,4
253,4
254,0
255,0
256,0
257,0
258,0
259,2
260,0
261,4
262,0
263,4
264,4
265,2
266,0
267,4
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,1
283,0
284,1
285,4
286,2
287,0
288,0
289,0
290,4
291,1
292,3
293,2
294,0
295,5
296,0
297,0
298,3
299,0
300,0
301,0
302,3
303,0
304,1
305,2
306,0
307,0
308,1
309,2
310,3
311,6
312,0
313,0
314,0
315,2
316,0
317,3
318,0
319,2
320,2
321,6
322,3
323,0
324,4
325,0
326,1
327,3
328,4
329,0
330,2
331,2
332,2
333,3
334,3
335,3
336,0
337,2
338,0
339,1
340,3
341,3
342,1
343,4
344,0
345,0
346,3
347,2
348,2
349,0
350,0
351,4
352,1
353,2
354,0
355,0
356,0
357,0
358,0
359,0
360,4
361,0
362,0
363,0
364,2
365,3
366,0
367,0
368,0
369,0
370,2
371,3
372,1
373,1
374,0
375,0
376,3
377,3
378,2
379,0
380,0
381,0
382,2
383,1
384,0
385,2
386,3
387,1
388,3
389,2
390,0
391,0
392,2
393,1
394,0
395,2
396,0
397,4
398,0
399,4
400,3
401,0
402,6
403,4
404,0
405,0
406,2
407,4
408,1
409,4
410,4
411,0
412,3
413,0
414,4
415,0
416,2
417,1
418,0
419,0
420,5
421,2
422,0
423,3
424,1
425,4
426,0
427,1
428,0
429,0
430,3
431,2
432,0
433,4
434,0
435,2
436,3
437,2
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,4
448,6
449,1
450,0
451,0
452,4
453,1
454,2
455,0
456,2
457,1
458,2
459,2
460,4
461,0
462,6
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,1
471,1
472,3
473,3
474,1
475,2
476,2
477,2
478,2
479,2
480,2
481,3
482,2
483,4
484,3
485,0
486,2
487,1
488,3
489,0
490,1
491,0
492,2
493,6
494,2
495,4
496,1
497,3
498,0
499,1
500,0
501,0
502,2
503,2
504,1
505,0
506,0
507,2
508,2
509,0
510,3
511,0
512,0
513,2
514,2
515,0
516,1
517,0
518,4
519,0
520,0
521,0
522,2
523,0
524,0
525,0
526,2
527,2
528,0
529,4
530,2
531,0
